"id","author","created","text","parent"
"48367583","epolanski","2026-06-02T08:41:40Z","You can use Claude Code with DS4, I&#x27;m doing it as my daily driver.","48364508"
"48367560","elAhmo","2026-06-02T08:38:46Z","Profitability claims don&#x27;t really add up. They are not clear about what accounting methods they are using, and even if they might somehow show profitable quarter, they stated in their leak of numbers to WSJ that they might not end up the year being profitable.<p>This is just to pump their numbers for the IPO, profitability is nowhere close until we see the real numbers.","48361352"
"48367364","newsicanuse","2026-06-02T08:08:15Z","An economist exytrpolating tech trends is already a hard sell. And deterministic unreliability is atleast deterministic meaning you can choose to ignore, this is still better than probabilistic AI hubris","48366944"
"48367243","SkiFire13","2026-06-02T07:49:06Z","&gt; which means &#x27;retail&#x27; investors are going to have perhaps 5% of their portfolio in it<p>If I&#x27;m not reading it wrong though NASDAQ introduced a 3x multiplier for low-float stocks like SpaceX is most likely going to be (and maybe OpenAI and Anthropic too if they see that it works). A 15% exposure is then going to be pretty big.","48363873"
"48367178","ben_w","2026-06-02T07:38:57Z","This is not a useful response to &quot;how long does this last? I&#x27;ve been hearing it for a decade.&quot;<p>The phrase &quot;late capitalism&quot; itself has been used for just over a century now[0]; while I believe the USA is destroying what made the nation successful and will therefore probably[1] go into decline before 2035, there&#x27;s no particular reason to tie the weird aspects of the economic system to the USA&#x27;s political nonsense.<p>Also, the USSR would be the opposite example of your first sentence, as the collapse was a big surprise to everyone (both inside and outside the bloc) even a few years before it happened.<p>The Roman Empire would be the example for long-term decline, as that took one or more centuries depending on where you count the zenith (180 CE to 376 CE as the start, the Western Roman Empire was definitely dead by 476 CE).<p>But you seem to want to present it as a &quot;in our lifetime&quot; kind of thing; for that, I would suggest the British Empire, which peaked just before WW1, yet was obviously a broken power by the time of the Suez Crisis of 1956 just 42 years later though full decolonisation took longer (and if you ask Sinn Féin, Plaid Cymru, and the SNP, isn&#x27;t really finished).<p>[0] <a href=""https:&#x2F;&#x2F;en.wikipedia.org&#x2F;wiki&#x2F;Late_capitalism"" rel=""nofollow"">https:&#x2F;&#x2F;en.wikipedia.org&#x2F;wiki&#x2F;Late_capitalism</a><p>[1] There&#x27;s a very narrow path where enough anti-corruption votes combine for a government which does something that, ironically, Trump promised in his first term: &quot;drain the swamp&quot;. It can&#x27;t just be &quot;Dems win&quot;, it has to be broad consensus that not only takes this seriously but also is seen by the world to do so.","48363160"
"48367130","intended","2026-06-02T07:31:19Z","You&#x27;ve covered both bases here.<p>The issue is that the way the rules have been changed, risky stocks have been added to a product that is meant to be stable.<p>A 401k, any retirement focused product, is not serving its purpose when it tags on risk.<p>Having people in the later part of their lives find they are broke, becuse despite them doing everything right, a loophole was created to extract their savings.<p>This is simply not right.","48361720"
"48366944","ben_w","2026-06-02T07:00:41Z","<p><pre><code>  The growth of the Internet will slow drastically, as the flaw in “Metcalfe’s law”—which states that the number of potential connections in a network is proportional to the square of the number of participants—becomes apparent: most people have nothing to say to each other! By 2005 or so, it will become clear that the Internet’s impact on the economy has been no greater than the fax machine’s.
</code></pre>
- Nobel prize winning economist Paul Krugman, in 1998, <a href=""https:&#x2F;&#x2F;quoteinvestigator.com&#x2F;2023&#x2F;10&#x2F;26&#x2F;internet-fax&#x2F;"" rel=""nofollow"">https:&#x2F;&#x2F;quoteinvestigator.com&#x2F;2023&#x2F;10&#x2F;26&#x2F;internet-fax&#x2F;</a><p>(Why do people try to criticise AI as &quot;probabalistic&quot; like this matters? Unreliable I get, but early Wikipedia and Geocities were as deterministically unreliable as the amateur and fiction sections respectively of a bookstore)","48366070"
"48366183","reillyse","2026-06-02T04:46:59Z","I think the original comment was before the market sneezes. So we all know it will sneeze and the companies want to get in on this business cycle. The longer they leave it the more likely they will miss it.","48361770"
"48366070","newsicanuse","2026-06-02T04:30:03Z","I am really surprised that people are comparing dot com with AI. Atleast dot-com era was deterministic, comparatively AI is just a probabalistic unreliable slop","48361720"
"48366009","satvikpendem","2026-06-02T04:18:33Z","For now. Without industry of their own Europe won&#x27;t have a high quality of life much longer, as recent unemployment statistics already show.","48363688"
"48365859","BobbyTables2","2026-06-02T03:59:43Z","FWIW, I preferred AltaVista over Google back in the day.","48364324"
"48365815","returnInfinity","2026-06-02T03:54:57Z","The powers that be are already planning to ban Chinese models.","48358751"
"48365679","lmeyerov","2026-06-02T03:33:19Z","? Very much agreed, the IPO pop is a manufactured pricing event focused on investor dynamics rather than direct fair market pricing, making it more of a gamble than normal. Including gambles in index funds defeats the point.<p>Maybe the confusing point was my involvement is (discounted) pre-IPO shares, which almost by definition, is not an activity accessible to retail investors.","48363207"
"48365616","nostrademons","2026-06-02T03:25:49Z","If it&#x27;s an ETF it&#x27;s a little complicated.  The usual mechanism for selling an ETF is that there&#x27;s a buyer on the other end who&#x27;s buying shares in the ETF itself, not the constituent stocks.  Arbitrage keeps the price in line with the index constituents; if the ETF diverges from its constituent assets, some HFT can buy the ETF and sell the constituents and that will force them to converge.<p>However, most ETFs are also setup such that they can create or destroy shares in response to large shifts in demand.  In this case, if enough people hit sell, the ETF itself will buy back shares and use the proceeds to sell the underlying assets, in a transaction that mechanically should be market-neutral and just propagate the supply&#x2F;demand of the fund down to the individual stocks.<p>With Vanguard specifically, it&#x27;s even more complicated, because <i>VTI is not a separate ETF</i>.  It&#x27;s a share class of the Vanguard Total Stock Market Index Fund.  But the mechanism is largely the same - it has the same Authorized Participant system to mint new shares in case of high demand and redeem shares if everybody sells, and then passes these requests on to the underlying mutual fund, which can then piggyback on some of the tax efficiency benefits of the ETF.","48364251"
"48365591","EvgeniyZh","2026-06-02T03:21:27Z","I don&#x27;t see how they can keep their margins with all the pressure from Chinise models. It got to be race to the bottom on margins.<p>They (together with OpenAI and maybe Google) can have better margins on frontier models, but the demand on those got to be much lower","48361720"
"48365469","claudenm","2026-06-02T03:01:46Z","I don’t think your first sentence is true. The hyperscalers have spent north of 1 trillion in the capex boom as a direct response to AI demand, If you’re a retail investor, you’re already quite exposed.","48361365"
"48365369","nothercastle","2026-06-02T02:47:58Z","The episode was excellent","48361766"
"48365169","Eufrat","2026-06-02T02:19:23Z","The motivation for such a terse thing is pretty obvious given the way they’ve generally announced things. It’s drumming up interest with as much vagueness as possible.<p>It’s a classic tactic. If you are unable to show real data (why?), then just give as little information as possible so that people can just fill in the gaps based on their own biases.<p>I mean, look at the way Mythos was announced…too dangerous to release outside of select customers, but they’ve announced they’re adding Mythos capabilities now, so I guess the danger has passed? What changed? What risk mitigations have taken place?","48358765"
"48365117","nothercastle","2026-06-02T02:11:57Z","Apple was a pretty crappy stock till the late 90s so you would have had to wait almost 2 decades to make decent money","48362229"
